Title,Company,Location,Job_Url,Posted_Text,Posted_Date,Experience,Skills,Job_Type,Salary,Skills_List
Data Scientist,Thales,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-scientist-at-thales-4417326819?position=12&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ZOHbsrEJYY0CiiRpvyaRfQ%3D%3D,1 Week Ago,2026-08-15,Experience,"Python, Sql, Machine Learning, Artificial Intelligence, Gcp, Databricks",Full-Time,50900000.0,"['Python', 'Sql', 'Machine Learning', 'Artificial Intelligence', 'Gcp', 'Databricks']"
Ai/Ml Data Science / Gen Ai / Mlops,Cognizant,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ai-ml-data-science-gen-ai-mlops-at-cognizant-4447622047?position=13&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ssjiurH51V6wMfR1TmMhng%3D%3D,2 Days Ago,2026-08-23,Mid-Senior Level,"Python, Machine Learning, Tensorflow, Pytorch, Azure, Docker, Kubernetes",Full-Time,63750000.0,"['Python', 'Machine Learning', 'Tensorflow', 'Pytorch', 'Azure', 'Docker', 'Kubernetes']"
Machine Learning Engineer,Simplify Healthcare,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-simplify-healthcare-4455251418?position=14&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=clNQH0Xtq3ZrqgVj%2FkpeSg%3D%3D,1 Week Ago,2026-08-17,Mid-Senior Level,"Python, Sql, Aws, Azure, Gcp, Spark, Databricks",Full-Time,Not Disclosed,"['Python', 'Sql', 'Aws', 'Azure', 'Gcp', 'Spark', 'Databricks']"
Senior Data Scientist,"Invoicecloud, Inc.","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-invoicecloud-inc-4419691849?position=15&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=TwT4RvrdGKC1qOHarypxFg%3D%3D,2 Weeks Ago,2026-08-05,Mid-Senior Level,"Python, Sql, Machine Learning, Deep Learning, Tensorflow, Pytorch, Pandas, Numpy, Scikit-Learn, Aws, Azure, Gcp, Docker, Kubernetes, Databricks, Git",Full-Time,169416666.66666666,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Tensorflow', 'Pytorch', 'Pandas', 'Numpy', 'Scikit-Learn', 'Aws', 'Azure', 'Gcp', 'Docker', 'Kubernetes', 'Databricks', 'Git']"
Principal Data Scientist,Atlassian,Greater Kolkata Area,https://in.linkedin.com/jobs/view/principal-data-scientist-at-atlassian-4454857134?position=16&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=vRzXJd02SKq1gsIxyiKchQ%3D%3D,1 Week Ago,2026-08-15,Mid-Senior Level,"Python, Sql, R, Machine Learning, Pandas, Numpy, Scikit-Learn, Matplotlib, Tableau",Full-Time,Not Disclosed,"['Python', 'Sql', 'R', 'Machine Learning', 'Pandas', 'Numpy', 'Scikit-Learn', 'Matplotlib', 'Tableau']"
Data Scientist I,Kroll,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-i-at-kroll-4453474215?position=17&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=K14yVJ530VPYJhzuooQiDA%3D%3D,6 Days Ago,2026-08-19,Entry Level,"Python, Machine Learning, Deep Learning, Nlp, Tensorflow, Pytorch, Hugging Face, Pandas, Numpy, Scikit-Learn, Aws, Azure, Gcp, Spark, Databricks",Full-Time,43166666.666666664,"['Python', 'Machine Learning', 'Deep Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Pandas', 'Numpy', 'Scikit-Learn', 'Aws', 'Azure', 'Gcp', 'Spark', 'Databricks']"
Data Scientist + Databricks Ai/Ml - Sr Architect,Birlasoft,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-scientist-%2B-databricks-ai-ml-sr-architect-at-birlasoft-4453578053?position=18&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=2YkxMPH%2B1PGuAHE8qxM38g%3D%3D,1 Week Ago,2026-08-14,Mid-Senior Level,"Python, Sql, Nlp, Tensorflow, Pytorch, Scikit-Learn, Power Bi, Tableau, Aws, Azure, Gcp, Databricks",Full-Time,Not Disclosed,"['Python', 'Sql', 'Nlp', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Power Bi', 'Tableau', 'Aws', 'Azure', 'Gcp', 'Databricks']"
Senior Principal Data Scientist,Atkinsréalis,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/senior-principal-data-scientist-at-atkinsr%C3%A9alis-4394640162?position=19&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=HtSI9fgJZOpfec2S7WO72g%3D%3D,4 Months Ago,2026-04-07,Mid-Senior Level,"Python, Machine Learning, Nlp, Tensorflow, Pytorch, Hugging Face, Aws, Azure",Full-Time,211833333.33333334,"['Python', 'Machine Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Aws', 'Azure']"
Data Science And Aiml Lead - Aitds,Cognizant,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-science-and-aiml-lead-aitds-at-cognizant-4414475083?position=20&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=GwdY3QO2NVNrEsfDFCaJKw%3D%3D,2 Weeks Ago,2026-08-08,Mid-Senior Level,"Python, Machine Learning, Tensorflow, Pytorch, Scikit-Learn, Aws, Azure, Gcp",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Aws', 'Azure', 'Gcp']"
Straviso - Senior Data Scientist - Machine Learning,Straviso,Greater Kolkata Area,https://in.linkedin.com/jobs/view/straviso-senior-data-scientist-machine-learning-at-straviso-4438548274?position=21&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=i09VNWB%2BDswcC17DSy%2BJxQ%3D%3D,1 Month Ago,2026-07-09,Mid-Senior Level,"Python, Sql, Machine Learning, Deep Learning, Artificial Intelligence, Nlp, Tensorflow, Pytorch, Hugging Face, Scikit-Learn, Aws, Azure, Gcp, Docker, Kubernetes, Spark, Git",Full-Time,Not Disclosed,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Nlp', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Scikit-Learn', 'Aws', 'Azure', 'Gcp', 'Docker', 'Kubernetes', 'Spark', 'Git']"
Data Scientist I,Kroll,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/data-scientist-i-at-kroll-4453471229?position=22&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=R0sT3mfM8C1hzNmoiJGj9w%3D%3D,6 Days Ago,2026-08-19,Entry Level,"Python, Machine Learning, Deep Learning, Nlp, Tensorflow, Pytorch, Hugging Face, Pandas, Numpy, Scikit-Learn, Aws, Azure, Gcp, Spark, Databricks",Full-Time,50900000.0,"['Python', 'Machine Learning', 'Deep Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Hugging Face', 'Pandas', 'Numpy', 'Scikit-Learn', 'Aws', 'Azure', 'Gcp', 'Spark', 'Databricks']"
Data Scientist,Avahi,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-avahi-4436347282?position=23&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=yQTDUX5Gss0RToegH%2FOr%2Fw%3D%3D,1 Week Ago,2026-08-15,Mid-Senior Level,"Python, Pytorch, Aws",Full-Time,Not Disclosed,"['Python', 'Pytorch', 'Aws']"
Data Scientist – Mortgage Analytics & Ai,Loandna,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-scientist-%E2%80%93-mortgage-analytics-ai-at-loandna-4453688615?position=24&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=X66CbIqNudZbt5m6dk%2FFtA%3D%3D,1 Week Ago,2026-08-13,Mid-Senior Level,"Python, Sql, Machine Learning, Deep Learning, Tensorflow, Pytorch, Pandas, Numpy, Scikit-Learn, Aws, Azure, Docker, Kubernetes, Databricks, Git",Full-Time,43166666.666666664,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Tensorflow', 'Pytorch', 'Pandas', 'Numpy', 'Scikit-Learn', 'Aws', 'Azure', 'Docker', 'Kubernetes', 'Databricks', 'Git']"
Staff Data Scientist,Stryker,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/staff-data-scientist-at-stryker-4436215738?position=25&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=xNPrt02VIjERzM8QsyCSQQ%3D%3D,1 Month Ago,2026-07-07,Associate,"Python, Sql, Machine Learning, Nlp, Power Bi, Azure, Spark, Databricks, Git",Full-Time,512.5,"['Python', 'Sql', 'Machine Learning', 'Nlp', 'Power Bi', 'Azure', 'Spark', 'Databricks', 'Git']"
Predictive Analytics Data Scientist-Ai Labs,Adani Enterprises Limited,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/predictive-analytics-data-scientist-ai-labs-at-adani-enterprises-limited-4427055522?position=26&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=12upmbySMRq%2F63b06Rjx9w%3D%3D,1 Week Ago,2026-08-14,Entry Level,"Machine Learning, Deep Learning, Artificial Intelligence, Aws, Azure, Gcp, Docker, Kubernetes",Full-Time,33933333.33333333,"['Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Aws', 'Azure', 'Gcp', 'Docker', 'Kubernetes']"
Lead Data Scientist,Gartner,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-gartner-4446434435?position=27&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=pvp5g7PJyxOJVAHppgwf6A%3D%3D,6 Days Ago,2026-08-20,Experience,"Python, Sql, Machine Learning, Deep Learning, Artificial Intelligence, Nlp, Tensorflow, Pytorch, Pandas, Numpy, Scikit-Learn, Power Bi, Aws, Azure, Gcp, Spark, Databricks",Full-Time,43166666.666666664,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Nlp', 'Tensorflow', 'Pytorch', 'Pandas', 'Numpy', 'Scikit-Learn', 'Power Bi', 'Aws', 'Azure', 'Gcp', 'Spark', 'Databricks']"
"Lead, Data Scientist",Bain & Company,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-bain-company-4440907806?position=28&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=HyizO%2Fn7L1uMQ5TXDkLqVA%3D%3D,2 Weeks Ago,2026-08-09,Experience,"Python, Sql, Machine Learning, Deep Learning, Artificial Intelligence, Nlp, Aws, Azure, Gcp, Docker, Spark, Mongodb, Postgresql",Full-Time,43166666.666666664,"['Python', 'Sql', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Nlp', 'Aws', 'Azure', 'Gcp', 'Docker', 'Spark', 'Mongodb', 'Postgresql']"
Senior Data Scientist,"Fourkites, Inc.",Greater Chennai Area,https://in.linkedin.com/jobs/view/senior-data-scientist-at-fourkites-inc-4458585972?position=29&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=cN4RL9JG98cKPP7l3zupTw%3D%3D,1 Day Ago,2026-08-25,Mid-Senior Level,"Python, Sql, Machine Learning, Nlp, Pandas, Scikit-Learn, Aws",Full-Time,Not Disclosed,"['Python', 'Sql', 'Machine Learning', 'Nlp', 'Pandas', 'Scikit-Learn', 'Aws']"
Data Scientist-Artificial Intelligence,Ibm,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4446243677?position=30&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=9SlDIjxDJy9h4k8QZ43A5w%3D%3D,19 Hours Ago,2026-08-25,Mid-Senior Level,"Python, Sql, Machine Learning, Artificial Intelligence, Nlp, Tensorflow, Pytorch, Keras, Hugging Face, Pandas, Matplotlib, Aws, Azure, Gcp, Kubernetes, Mongodb",Full-Time,42266666.666666664,"['Python', 'Sql', 'Machine Learning', 'Artificial Intelligence', 'Nlp', 'Tensorflow', 'Pytorch', 'Keras', 'Hugging Face', 'Pandas', 'Matplotlib', 'Aws', 'Azure', 'Gcp', 'Kubernetes', 'Mongodb']"
Lead Data Scientist,Xcaliber Health,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-xcaliber-health-4434281766?position=31&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=LLnIszBZFu71gJsKGgvWaA%3D%3D,1 Month Ago,2026-06-28,Mid-Senior Level,"Python, Machine Learning, Nlp",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Nlp']"
Senior Data Scientist,Sonatype,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sonatype-4448280537?position=33&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=zm4eiJO9WrbSzBMYNHUADg%3D%3D,1 Day Ago,2026-08-25,Associate,"Python, Java, Machine Learning, Deep Learning, Artificial Intelligence, Tensorflow, Pytorch, Scikit-Learn, Aws, Databricks, Git",Full-Time,169416666.66666666,"['Python', 'Java', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Aws', 'Databricks', 'Git']"
Senior Data Scientist,Skan Ai,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-skan-ai-4456247269?position=34&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=gAnjTRS5JqKIV%2FIBJu785A%3D%3D,4 Days Ago,2026-08-21,Mid-Senior Level,"Python, Deep Learning, Nlp, Spark, Databricks",Full-Time,Not Disclosed,"['Python', 'Deep Learning', 'Nlp', 'Spark', 'Databricks']"
Senior Data Scientist,Aligned Automation,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-aligned-automation-4454272168?position=35&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=o4%2FAO5Ea3vOIEdhvye%2FE%2Bg%3D%3D,1 Week Ago,2026-08-13,Mid-Senior Level,"Python, Machine Learning, Tensorflow, Pytorch, Pandas, Scikit-Learn",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Tensorflow', 'Pytorch', 'Pandas', 'Scikit-Learn']"
Senior Data Scientist,Sourcingxpress,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sourcingxpress-4377843079?position=36&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=rGKkb0on9%2Fv%2FSUbjxN2nlA%3D%3D,5 Months Ago,2026-02-27,Mid-Senior Level,"Python, Sql, Machine Learning, Aws, Azure, Gcp, Docker, Spark",Full-Time,148333333.33333334,"['Python', 'Sql', 'Machine Learning', 'Aws', 'Azure', 'Gcp', 'Docker', 'Spark']"
Senior Data Scientist,Citiustech,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-citiustech-4447280305?position=37&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=2DezFY1nYBaulIe5WReBhQ%3D%3D,3 Weeks Ago,2026-07-31,Mid-Senior Level,"Python, Sql, Machine Learning, Nlp, Tensorflow, Pytorch, Scikit-Learn, Power Bi, Tableau, Azure, Databricks",Full-Time,169416666.66666666,"['Python', 'Sql', 'Machine Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Scikit-Learn', 'Power Bi', 'Tableau', 'Azure', 'Databricks']"
Staff Data Scientist – Healthcare,Anblicks,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/staff-data-scientist-%E2%80%93-healthcare-at-anblicks-4425796423?position=38&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2FLW8pn1UtNQQIKnKvjXXBw%3D%3D,2 Months Ago,2026-06-15,Mid-Senior Level,"Python, R, Machine Learning, Deep Learning, Aws, Docker, Kubernetes, Spark, Databricks",Full-Time,Not Disclosed,"['Python', 'R', 'Machine Learning', 'Deep Learning', 'Aws', 'Docker', 'Kubernetes', 'Spark', 'Databricks']"
Machine Learning-Ai And Data Science Engineer Iii,Deloitte,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/machine-learning-ai-and-data-science-engineer-iii-at-deloitte-4425095675?position=39&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=O57HAjFRuQQPwWPsZX0Tpg%3D%3D,1 Week Ago,2026-08-15,Experience,"Python, Sql, Machine Learning, Artificial Intelligence, Pandas, Numpy, Scikit-Learn, Tableau, Aws, Azure, Gcp, Docker, Databricks, Git",Full-Time,Not Disclosed,"['Python', 'Sql', 'Machine Learning', 'Artificial Intelligence', 'Pandas', 'Numpy', 'Scikit-Learn', 'Tableau', 'Aws', 'Azure', 'Gcp', 'Docker', 'Databricks', 'Git']"
Senior Data Scientist,Cognite,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-cognite-4446547646?position=40&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2BFTMAUoAYlRWN%2BSrwrvwgA%3D%3D,6 Days Ago,2026-08-19,Mid-Senior Level,"Python, Sql, Machine Learning, Aws, Azure, Gcp, Git",Full-Time,Not Disclosed,"['Python', 'Sql', 'Machine Learning', 'Aws', 'Azure', 'Gcp', 'Git']"
Machine Learning-Lead Ai And Data Science Engineer Ii,Deloitte,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/machine-learning-lead-ai-and-data-science-engineer-ii-at-deloitte-4440237541?position=41&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=EHhWVwxUpzyU6u4dZkTK4Q%3D%3D,2 Weeks Ago,2026-08-06,Experience,"Python, Sql, Deep Learning, Nlp, Tensorflow, Pytorch, Keras, Aws, Azure, Gcp, Docker, Git",Full-Time,Not Disclosed,"['Python', 'Sql', 'Deep Learning', 'Nlp', 'Tensorflow', 'Pytorch', 'Keras', 'Aws', 'Azure', 'Gcp', 'Docker', 'Git']"
Machine Learning Engineer/Data Engineer,Adient,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-data-engineer-at-adient-4411506846?position=42&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2B3wWEUz4efBmJtrd4o9evw%3D%3D,3 Months Ago,2026-05-14,Mid-Senior Level,"Python, Sql, Machine Learning, Pandas, Numpy, Scikit-Learn, Matplotlib, Azure",Full-Time,63750000.0,"['Python', 'Sql', 'Machine Learning', 'Pandas', 'Numpy', 'Scikit-Learn', 'Matplotlib', 'Azure']"
Data Scientist Iii,Navi,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-iii-at-navi-4448539970?position=43&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=OzuJ4d4acpnVt8pEHQqciQ%3D%3D,3 Weeks Ago,2026-08-04,Mid-Senior Level,"Python, Machine Learning, Deep Learning, Tensorflow, Keras, Scikit-Learn",Full-Time,Not Disclosed,"['Python', 'Machine Learning', 'Deep Learning', 'Tensorflow', 'Keras', 'Scikit-Learn']"
Senior Lead Data Scientist,4Flow,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-lead-data-scientist-at-4flow-4443937418?position=44&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=H1FNfVzVwsJT5%2FwfL2jP6A%3D%3D,1 Week Ago,2026-08-13,Mid-Senior Level,Machine Learning,Full-Time,Not Disclosed,['Machine Learning']
