title,company,location,job_url,posted_text,posted_date,experience,salary,skills,job_type,salary_min,salary_max
Sr Advanced Data Scientist,Honeywell Technologies,"Delhi, India",https://in.linkedin.com/jobs/view/sr-advanced-data-scientist-at-honeywell-technologies-4445717520?position=11&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ws9J2nh1ZBz1wYfSlfx6Hw%3D%3D,1 week ago,2026-08-18,Mid-Senior level,"₹2,000,000.00
            -
            ₹4,000,000.00","Python, R, Machine Learning, Azure, Databricks",Full-time,2000000.0,4000000.0
Data Scientist,Thales,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-scientist-at-thales-4417326819?position=12&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ZOHbsrEJYY0CiiRpvyaRfQ%3D%3D,1 week ago,2026-08-15,Not Applicable,"₹1,200,000.00
            -
            ₹1,800,000.00","Python, SQL, Machine Learning, Artificial Intelligence, GCP, Databricks",Full-time,1200000.0,1800000.0
AI/ML Data Science / Gen AI / MLOps,Cognizant,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ai-ml-data-science-gen-ai-mlops-at-cognizant-4447622047?position=13&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=ssjiurH51V6wMfR1TmMhng%3D%3D,2 days ago,2026-08-23,Mid-Senior level,"₹1,500,000.00
            -
            ₹2,500,000.00","Python, Machine Learning, TensorFlow, PyTorch, Azure, Docker, Kubernetes",Full-time,1500000.0,2500000.0
Machine Learning Engineer,Simplify Healthcare,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-simplify-healthcare-4455251418?position=14&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=clNQH0Xtq3ZrqgVj%2FkpeSg%3D%3D,1 week ago,2026-08-17,Mid-Senior level,,"Python, SQL, AWS, Azure, GCP, Spark, Databricks",Full-time,,
Senior Data Scientist,"InvoiceCloud, Inc.","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-invoicecloud-inc-4419691849?position=15&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=TwT4RvrdGKC1qOHarypxFg%3D%3D,2 weeks ago,2026-08-05,Mid-Senior level,"₹4,000,000.00
            -
            ₹5,500,000.00","Python, SQL, Machine Learning, Deep Learning, TensorFlow, PyTorch, Pandas, NumPy, Scikit-learn, AWS, Azure, GCP, Docker, Kubernetes, Databricks, Git",Full-time,4000000.0,5500000.0
Principal Data Scientist,Atlassian,Greater Kolkata Area,https://in.linkedin.com/jobs/view/principal-data-scientist-at-atlassian-4454857134?position=16&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=vRzXJd02SKq1gsIxyiKchQ%3D%3D,1 week ago,2026-08-15,Mid-Senior level,,"Python, SQL, R, Machine Learning, Pandas, NumPy, Scikit-learn, Matplotlib, Tableau",Full-time,,
Data Scientist I,Kroll,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-i-at-kroll-4453474215?position=17&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=K14yVJ530VPYJhzuooQiDA%3D%3D,6 days ago,2026-08-19,Entry level,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, Hugging Face, Pandas, NumPy, Scikit-learn, AWS, Azure, GCP, Spark, Databricks",Full-time,1000000.0,3000000.0
Data Scientist + Databricks AI/ML - Sr Architect,Birlasoft,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-scientist-%2B-databricks-ai-ml-sr-architect-at-birlasoft-4453578053?position=18&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=2YkxMPH%2B1PGuAHE8qxM38g%3D%3D,1 week ago,2026-08-14,Mid-Senior level,,"Python, SQL, NLP, TensorFlow, PyTorch, Scikit-learn, Power BI, Tableau, AWS, Azure, GCP, Databricks",Full-time,,
Senior Principal Data Scientist,AtkinsRéalis,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/senior-principal-data-scientist-at-atkinsr%C3%A9alis-4394640162?position=19&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=HtSI9fgJZOpfec2S7WO72g%3D%3D,4 months ago,2026-04-07,Mid-Senior level,"₹5,000,000.00
            -
            ₹7,000,000.00","Python, Machine Learning, NLP, TensorFlow, PyTorch, Hugging Face, AWS, Azure",Full-time,5000000.0,7000000.0
Data Science and AIML Lead - AITDS,Cognizant,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-science-and-aiml-lead-aitds-at-cognizant-4414475083?position=20&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=GwdY3QO2NVNrEsfDFCaJKw%3D%3D,2 weeks ago,2026-08-08,Mid-Senior level,,"Python, Machine Learning, TensorFlow, PyTorch, Scikit-learn, AWS, Azure, GCP",Full-time,,
Straviso - Senior Data Scientist - Machine Learning,StraViso,Greater Kolkata Area,https://in.linkedin.com/jobs/view/straviso-senior-data-scientist-machine-learning-at-straviso-4438548274?position=21&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=i09VNWB%2BDswcC17DSy%2BJxQ%3D%3D,1 month ago,2026-07-09,Mid-Senior level,,"Python, SQL, Machine Learning, Deep Learning, Artificial Intelligence, NLP, TensorFlow, PyTorch, Hugging Face, Scikit-learn, AWS, Azure, GCP, Docker, Kubernetes, Spark, Git",Full-time,,
Data Scientist I,Kroll,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/data-scientist-i-at-kroll-4453471229?position=22&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=R0sT3mfM8C1hzNmoiJGj9w%3D%3D,6 days ago,2026-08-19,Entry level,"₹1,200,000.00
            -
            ₹1,800,000.00","Python, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, Hugging Face, Pandas, NumPy, Scikit-learn, AWS, Azure, GCP, Spark, Databricks",Full-time,1200000.0,1800000.0
Data Scientist,Avahi,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-avahi-4436347282?position=23&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=yQTDUX5Gss0RToegH%2FOr%2Fw%3D%3D,1 week ago,2026-08-15,Mid-Senior level,,"Python, PyTorch, AWS",Full-time,,
Data Scientist – Mortgage Analytics & AI,loanDNA,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-scientist-%E2%80%93-mortgage-analytics-ai-at-loandna-4453688615?position=24&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=X66CbIqNudZbt5m6dk%2FFtA%3D%3D,1 week ago,2026-08-13,Mid-Senior level,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, SQL, Machine Learning, Deep Learning, TensorFlow, PyTorch, Pandas, NumPy, Scikit-learn, AWS, Azure, Docker, Kubernetes, Databricks, Git",Full-time,1000000.0,3000000.0
Staff Data Scientist,Stryker,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/staff-data-scientist-at-stryker-4436215738?position=25&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=xNPrt02VIjERzM8QsyCSQQ%3D%3D,1 month ago,2026-07-07,Associate,"₹12.00
            -
            ₹25.00","Python, SQL, Machine Learning, NLP, Power BI, Azure, Spark, Databricks, Git",Full-time,12.0,25.0
Predictive Analytics Data Scientist-AI Labs,Adani Enterprises Limited,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/predictive-analytics-data-scientist-ai-labs-at-adani-enterprises-limited-4427055522?position=26&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=12upmbySMRq%2F63b06Rjx9w%3D%3D,1 week ago,2026-08-14,Entry level,"₹800,000.00
            -
            ₹1,200,000.00","Machine Learning, Deep Learning, Artificial Intelligence, AWS, Azure, GCP, Docker, Kubernetes",Full-time,800000.0,1200000.0
Lead Data Scientist,Gartner,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-gartner-4446434435?position=27&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=pvp5g7PJyxOJVAHppgwf6A%3D%3D,6 days ago,2026-08-20,Not Applicable,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, SQL, Machine Learning, Deep Learning, Artificial Intelligence, NLP, TensorFlow, PyTorch, Pandas, NumPy, Scikit-learn, Power BI, AWS, Azure, GCP, Spark, Databricks",Full-time,1000000.0,3000000.0
"Lead, Data Scientist",Bain & Company,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-bain-company-4440907806?position=28&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=HyizO%2Fn7L1uMQ5TXDkLqVA%3D%3D,2 weeks ago,2026-08-09,Not Applicable,"₹1,000,000.00
            -
            ₹3,000,000.00","Python, SQL, Machine Learning, Deep Learning, Artificial Intelligence, NLP, AWS, Azure, GCP, Docker, Spark, MongoDB, PostgreSQL",Full-time,1000000.0,3000000.0
Senior Data Scientist,"FourKites, Inc.",Greater Chennai Area,https://in.linkedin.com/jobs/view/senior-data-scientist-at-fourkites-inc-4458585972?position=29&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=cN4RL9JG98cKPP7l3zupTw%3D%3D,1 day ago,2026-08-25,Mid-Senior level,,"Python, SQL, Machine Learning, NLP, Pandas, Scikit-learn, AWS",Full-time,,
Data Scientist-Artificial Intelligence,IBM,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4446243677?position=30&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=9SlDIjxDJy9h4k8QZ43A5w%3D%3D,19 hours ago,2026-08-25,Mid-Senior level,"₹1,000,000.00
            -
            ₹1,200,000.00","Python, SQL, Machine Learning, Artificial Intelligence, NLP, TensorFlow, PyTorch, Keras, Hugging Face, Pandas, Matplotlib, AWS, Azure, GCP, Kubernetes, MongoDB",Full-time,1000000.0,1200000.0
Lead Data Scientist,XCaliber Health,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-xcaliber-health-4434281766?position=31&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=LLnIszBZFu71gJsKGgvWaA%3D%3D,1 month ago,2026-06-28,Mid-Senior level,,"Python, Machine Learning, NLP",Full-time,,
Principal Data Scientist,JAGGAER,Greater Hyderabad Area,https://in.linkedin.com/jobs/view/principal-data-scientist-at-jaggaer-4451521110?position=32&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=fGGn4bTXtPgefkIQr8rgDA%3D%3D,2 weeks ago,2026-08-10,,,,,,
Senior Data Scientist,Sonatype,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sonatype-4448280537?position=33&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=zm4eiJO9WrbSzBMYNHUADg%3D%3D,1 day ago,2026-08-25,Associate,"₹4,000,000.00
            -
            ₹5,500,000.00","Python, Java, Machine Learning, Deep Learning, Artificial Intelligence, TensorFlow, PyTorch, Scikit-learn, AWS, Databricks, Git",Full-time,4000000.0,5500000.0
Senior Data Scientist,Skan AI,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-skan-ai-4456247269?position=34&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=gAnjTRS5JqKIV%2FIBJu785A%3D%3D,4 days ago,2026-08-21,Mid-Senior level,,"Python, Deep Learning, NLP, Spark, Databricks",Full-time,,
Senior Data Scientist,Aligned Automation,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-aligned-automation-4454272168?position=35&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=o4%2FAO5Ea3vOIEdhvye%2FE%2Bg%3D%3D,1 week ago,2026-08-13,Mid-Senior level,,"Python, Machine Learning, TensorFlow, PyTorch, Pandas, Scikit-learn",Full-time,,
Senior Data Scientist,SourcingXPress,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-sourcingxpress-4377843079?position=36&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=rGKkb0on9%2Fv%2FSUbjxN2nlA%3D%3D,5 months ago,2026-02-27,Mid-Senior level,"Base pay range ₹3,500,000.00/yr - ₹5,000,000.00/yr","Python, SQL, Machine Learning, AWS, Azure, GCP, Docker, Spark",Full-time,3500000.0,5000000.0
Senior Data Scientist,CitiusTech,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-citiustech-4447280305?position=37&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=2DezFY1nYBaulIe5WReBhQ%3D%3D,3 weeks ago,2026-07-31,Mid-Senior level,"₹4,000,000.00
            -
            ₹5,500,000.00","Python, SQL, Machine Learning, NLP, TensorFlow, PyTorch, Scikit-learn, Power BI, Tableau, Azure, Databricks",Full-time,4000000.0,5500000.0
Staff Data Scientist – Healthcare,Anblicks,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/staff-data-scientist-%E2%80%93-healthcare-at-anblicks-4425796423?position=38&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2FLW8pn1UtNQQIKnKvjXXBw%3D%3D,2 months ago,2026-06-15,Mid-Senior level,,"Python, R, Machine Learning, Deep Learning, AWS, Docker, Kubernetes, Spark, Databricks",Full-time,,
Machine Learning-AI and Data Science Engineer III,Deloitte,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/machine-learning-ai-and-data-science-engineer-iii-at-deloitte-4425095675?position=39&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=O57HAjFRuQQPwWPsZX0Tpg%3D%3D,1 week ago,2026-08-15,Not Applicable,,"Python, SQL, Machine Learning, Artificial Intelligence, Pandas, NumPy, Scikit-learn, Tableau, AWS, Azure, GCP, Docker, Databricks, Git",Full-time,,
Senior Data Scientist,Cognite,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-at-cognite-4446547646?position=40&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2BFTMAUoAYlRWN%2BSrwrvwgA%3D%3D,6 days ago,2026-08-19,Mid-Senior level,,"Python, SQL, Machine Learning, AWS, Azure, GCP, Git",Full-time,,
Machine Learning-Lead AI and Data Science Engineer II,Deloitte,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/machine-learning-lead-ai-and-data-science-engineer-ii-at-deloitte-4440237541?position=41&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=EHhWVwxUpzyU6u4dZkTK4Q%3D%3D,2 weeks ago,2026-08-06,Not Applicable,,"Python, SQL, Deep Learning, NLP, TensorFlow, PyTorch, Keras, AWS, Azure, GCP, Docker, Git",Full-time,,
Machine Learning Engineer/Data Engineer,Adient,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-data-engineer-at-adient-4411506846?position=42&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=%2B3wWEUz4efBmJtrd4o9evw%3D%3D,3 months ago,2026-05-14,Mid-Senior level,"₹1,500,000.00
            -
            ₹2,500,000.00","Python, SQL, Machine Learning, Pandas, NumPy, Scikit-learn, Matplotlib, Azure",Full-time,1500000.0,2500000.0
Data Scientist III,Navi,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-iii-at-navi-4448539970?position=43&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=OzuJ4d4acpnVt8pEHQqciQ%3D%3D,3 weeks ago,2026-08-04,Mid-Senior level,,"Python, Machine Learning, Deep Learning, TensorFlow, Keras, Scikit-learn",Full-time,,
Senior Lead Data Scientist,4flow,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-lead-data-scientist-at-4flow-4443937418?position=44&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=H1FNfVzVwsJT5%2FwfL2jP6A%3D%3D,1 week ago,2026-08-13,Mid-Senior level,,Machine Learning,Full-time,,
Lead Data scientist,Philips,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-scientist-at-philips-4448528032?position=45&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=w2O4kK46Q0IEbEkICxYe7Q%3D%3D,1 hour ago,2026-08-26,Mid-Senior level,,"Python, SQL, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, AWS, Azure",Full-time,,
DataNimbus - ML Architect - Data Science,DataNimbus,Greater Kolkata Area,https://in.linkedin.com/jobs/view/datanimbus-ml-architect-data-science-at-datanimbus-4445358620?position=46&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=WhfhBPpjGoFsdzyau435RQ%3D%3D,1 month ago,2026-07-26,Mid-Senior level,"₹500,000.00
            -
            ₹3,500,000.00","Machine Learning, TensorFlow, PyTorch, Pandas, Scikit-learn, AWS, Azure, GCP, Spark, Databricks",Full-time,500000.0,3500000.0
Analyst - Data Scientist,United Airlines India Knowledge Center,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-data-scientist-at-united-airlines-india-knowledge-center-4450731636?position=47&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=SHpooJJ2TUe8Sv99%2FFVM5Q%3D%3D,2 weeks ago,2026-08-07,Entry level,"₹1,200,000.00
            -
            ₹1,800,000.00","Python, SQL, Machine Learning, Artificial Intelligence, AWS, Azure, GCP, Git",Full-time,1200000.0,1800000.0
Digital Manager,EY,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/digital-manager-at-ey-4456528091?position=48&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=b3vx2m850GG1Y2loQzUeVg%3D%3D,1 day ago,2026-08-24,Mid-Senior level,,"Python, SQL, Machine Learning, Deep Learning, Azure, Docker, Kubernetes",Full-time,,
Senior Data Scientist (5 to 8 Years),Fractal,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-5-to-8-years-at-fractal-4389546678?position=49&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=6bflSG3CMNyN8Q4UiZ8Wiw%3D%3D,1 week ago,2026-08-14,Mid-Senior level,,"Python, R, Machine Learning, Azure, GCP, Spark, Databricks",Full-time,,
Product Specialist,Bajaj Finserv,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/product-specialist-at-bajaj-finserv-4420472918?position=50&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=wumd8a7t74R%2B4t%2BvBWv65w%3D%3D,2 months ago,2026-05-28,Associate,,"Python, SQL, TensorFlow, PyTorch, Pandas, Spark, MongoDB, Git",Full-time,,
Data Scientist 10+yrs,IQLEXA Technologies,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-10%2Byrs-at-iqlexa-technologies-4454168982?position=51&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=VAlcYXFwuEvYsIr9XQGMwQ%3D%3D,5 days ago,2026-08-21,Entry level,,"Python, SQL, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, Pandas, NumPy, Scikit-learn, AWS, Azure, GCP, Spark",Full-time,,
Data Scientist,EXL,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-exl-4446724288?position=52&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=4iCc16NszcBNxi3Ih2bHog%3D%3D,5 days ago,2026-08-20,Mid-Senior level,"₹1,000,000.00
            -
            ₹1,200,000.00","Python, SQL, Machine Learning, Deep Learning, NLP, Pandas, NumPy, Scikit-learn, AWS, Azure, Spark, Databricks",Full-time,1000000.0,1200000.0
Straviso - Data Scientist - Artificial Intelligence/Machine Learning,StraViso,Greater Kolkata Area,https://in.linkedin.com/jobs/view/straviso-data-scientist-artificial-intelligence-machine-learning-at-straviso-4438549287?position=53&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=uz7gq6AYJjKuR1%2BPVQAPsQ%3D%3D,1 month ago,2026-07-09,Mid-Senior level,,"Python, SQL, Machine Learning, Deep Learning, Artificial Intelligence, NLP, TensorFlow, PyTorch, Hugging Face, Scikit-learn, AWS, Azure, GCP, Docker, Kubernetes, Git",Full-time,,
Principal Data Scientist - Digital Health,Alcon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/principal-data-scientist-digital-health-at-alcon-4450090718?position=54&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=gQ1pNACjSXMRtE1yjB%2F2Gg%3D%3D,2 weeks ago,2026-08-07,,,,,,
Sr Data Scientist,HERE Technologies,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/sr-data-scientist-at-here-technologies-4442723388?position=55&pageNum=0&refId=x8S%2B68uVhJjbnbv4CmsPww%3D%3D&trackingId=k0Th0icA9UpeH1A%2Fgdodww%3D%3D,2 weeks ago,2026-08-11,Mid-Senior level,"$60.00
            -
            $65.00","Python, SQL, R, Machine Learning, Deep Learning, Spark",Full-time,60.0,65.0
